country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Niger,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2M,3M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2M,2M,,72M,17M,,5M,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,36M,108M,99M,79M,93M,99M,79M,95M,350M,111M,5M,161M,133M,205M,83M,147M,293M,446M,234M,244M,619M,804M,664M,465M,366M,184M,358M,505M,763M,558M,416M,455M,365M,455M,627M,473M,499M,614M,624M,359M,284M,203M,233M,331M,204M,505M,1.15B,1.21B,446M,495M,370M,546M,858M,374M,631M,461M,471M,1.05B,448M,238M,488M
Norway,38M,,25M,55M,67M,65M,80M,140M,65M,53M,,4M,31M,10M,,8M,8M,8M,93M,161M,158M,278M,68M,35M,,42M,29M,54M,34M,127M,85M,170M,82M,51M,64M,21M,4M,19M,3M,5M,3M,42M,92M,101M,66M,6M,17M,68M,118M,155M,159M,151M,170M,173M,163M,210M,122M,146M,59M,31M,72M
New Zealand,,,,,,,,1M,1M,0,,,0,2M,5M,3M,,,,,,1M,2M,,10M,7M,0,,,,,34M,4M,,3M,,,,,1M,1M,,1M,,1M,0,,,,,,,75M,,,1M,6M,4M,6M,,
Oman,,,,,,,,,,,,,,,,,,5M,,,,,,,,,5M,,,,,,,,0,,,,,,,,,,,1M,,,,,,,,,,,,7M,,,
Pakistan,,,,,,,,6M,,,,3M,,,,,,,,,15M,30M,30M,,,,,,,1M,82M,3M,,,2M,,,,,,3M,1M,9M,8M,9M,24M,4M,,1M,,,,,,,,1M,3M,2M,1M,
Panama,,,,,,,,,,,,,,,,,,,,2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1M,
Peru,,,,,,,,,,,,,,,,,,,,,,,50M,,,,,,,,,,,,,,,,,,,14M,,,5M,,,,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,1M,,,,,,,,,,,,,,,,,,,,,4M,,,,,,,,,,,,,
